==12765== NVPROF is profiling process 12765, command: ./FDTD3d
==12765== Profiling application: ./FDTD3d
==12765== Profiling result:
"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
s,ms,,,,,,,,KB,B,MB,GB/s,,,,
9.888849,37.751313,,,,,,,,,,216.000000,5.587554,"GeForce GTX 950 (0)","1","7","[CUDA memcpy HtoD]"
9.926711,37.733745,,,,,,,,,,216.000000,5.590155,"GeForce GTX 950 (0)","1","7","[CUDA memcpy HtoD]"
9.964454,0.000896,,,,,,,,,,0.000019,0.020788,"GeForce GTX 950 (0)","1","7","[CUDA memcpy HtoD]"
9.964495,9.387453,12,24,1,32,16,1,40,3.750000,0,,,"GeForce GTX 950 (0)","1","7","FiniteDifferencesKernel(float*, float const *, int, int, int) [228]"
9.973885,9.350109,12,24,1,32,16,1,40,3.750000,0,,,"GeForce GTX 950 (0)","1","7","FiniteDifferencesKernel(float*, float const *, int, int, int) [235]"
9.983237,9.115710,12,24,1,32,16,1,40,3.750000,0,,,"GeForce GTX 950 (0)","1","7","FiniteDifferencesKernel(float*, float const *, int, int, int) [242]"
9.992355,9.088639,12,24,1,32,16,1,40,3.750000,0,,,"GeForce GTX 950 (0)","1","7","FiniteDifferencesKernel(float*, float const *, int, int, int) [249]"
10.001446,9.199902,12,24,1,32,16,1,40,3.750000,0,,,"GeForce GTX 950 (0)","1","7","FiniteDifferencesKernel(float*, float const *, int, int, int) [256]"
10.010665,49.310045,,,,,,,,,,216.000000,4.277780,"GeForce GTX 950 (0)","1","7","[CUDA memcpy DtoH]"
